Prediction reliability,BeMF,PMF*,BiasedMF*,NMF*,BNMF*,URP,SVD++*
0,1,1,1,1,1,0.98806880621,1
0.1,1,1,1,1,1,0.98806880621,1
0.2,1,1,1,1,1,0.98804637915,1
0.3,0.96979075557,1,1,1,0.99996635942,0.98804637915,0.99998878647
0.4,0.69270447868,1,0.99998878647,0.99995514589,0.99986543766,0.9879454574,0.9999215053
0.5,0.29774159546,0.99993271883,0.99993271883,0.9997981565,0.99962995358,0.98791181682,0.99974208886
0.6,0.10553051201,0.99968602122,0.99965238063,0.99896835542,0.99832918433,0.96457646505,0.99873287134
0.7,0.03610756016,0.99725268564,0.99674807688,0.99113009935,0.9913095158,0.95249949539,0.99031151181
0.8,0.00974455583,0.93695754558,0.93553342753,0.8623539438,0.90970867254,0.94285586131,0.86807284308
0.9,0.00136805042,0.07448025298,0.08495368813,0.04489896611,0.15079952455,0.90683800937,0.04474197672
